worker_count,match_id,paired_unit_id,candidate_policy_id,opponent_policy_id,candidate_color,setup_pair_id,replay_digest,winner,terminal_reason,plies,candidate_result
1,m-1d853215040faccf070ba4af,u-f8a82c1f59ad31fd113ed20a,basic_heuristic,tactical_rule_based,0,60,f2d196a53c94fe2c4ac70c38daa9800cb5c787524bc11bdfb7ba0ac1ef568bf0,1,opponent_no_legal_move,244,loss
1,m-1debb2333b7110200e4a3f21,u-0c1fa6dccaac5bff30acaac1,tactical_rule_based,strategic_rule_based,1,1,060ca7d9404c3bfd5c9c95451c1108c4758bcaf1dc83e6afa213e7f362405d46,0,flag_capture,189,loss
1,m-1e4c6706f70de547b888d367,u-79b23b5c359d6e3a749e5acf,basic_heuristic,tactical_rule_based,0,2,23cdbbeb308244eb5d1c6049a101c006d2dbcd01d7125eb2235432998d81c261,0,flag_capture,273,win
1,m-1ea64a0f12387805cbd9a147,u-70f7e364a051c4fb70692c6c,strategic_rule_based,stress_draw_seeker,0,17,b47ad5636512dd493b69e84376268e24a4d92f8b8bfe7cc06a1a5af3beb4b20e,0,flag_capture,345,win
1,m-1ee7b17a3d8bf9a588d5dfc3,u-ed44c75eabadbb7115f1f168,tactical_rule_based,strategic_rule_based,0,44,f686c7946c90e201261eb3f24269b9ef27bb91d593657d4d8c45512a70d4e623,0,flag_capture,411,win
1,m-1f3977fe5427b1bb75015b70,u-5d83057c1e5e5e04ba7d820f,strategic_rule_based,stress_draw_seeker,0,8,2c6f1d78943cae83195a0f41261c1c96ea38654e7080e4dfa65e3bc3ff44576a,0,flag_capture,125,win
1,m-20027a7bae9fefb1fd434666,u-951bc90250a893343df05633,tactical_rule_based,strategic_rule_based,0,3,89f9f837dd83d42b36a3c8a8e067a1dcdd62dd1e696372685db1f070e7fdae58,0,flag_capture,129,win
1,m-20bfcc23320dbed9bfc9767f,u-2acb0e095ea4d3cc51943cf9,tactical_rule_based,strategic_rule_based,0,15,3a312af621eae81f13cd9232dee8d0ddacc46583ebb447724875c9cde42679ea,0,flag_capture,371,win
1,m-20f8551f552a0a6c730537c5,u-48104a75f191bc9efa7b15cc,basic_heuristic,tactical_rule_based,1,38,4132d83e80301d95cb511b47b283ae3657bf59dfa06b7b03629413feaa499197,0,opponent_no_legal_move,245,loss
1,m-2194a6aa46a5b3c103cb1830,u-dac945a2c22874d2dcab6388,tactical_rule_based,strategic_rule_based,1,61,906eee426fa8c5fe128e70fa63642797e667da2c7c77cd189de444c96c58842f,1,flag_capture,116,win
1,m-22414c638664a530c087bef1,u-cd2c40cfa037f4dddfb5ba97,tactical_rule_based,strategic_rule_based,0,51,b00020eeff1d97984f5ff43d8c45354d5585339fb96c39eba4dbabf4712ad220,1,flag_capture,138,loss
1,m-225fa4109197cb4f556d3996,u-ecfef87c3c10614787ea8083,strategic_rule_based,stress_draw_seeker,0,43,a6fba6fcdb1d5ea324cc033fd229dbfd8a957f5ec798f3a0db174d65dfa27b3d,0,flag_capture,317,win
1,m-2265e9579d26fe15a6a3174b,u-6c530ff6a9176da661631eba,basic_heuristic,tactical_rule_based,0,46,53b3a72a1327045c8fed3f4e7e6c283bd3d749db8e00f57a6a52259174041d93,1,opponent_no_legal_move,234,loss
1,m-227efe2875feb6c69bb32543,u-57c437f0ee80d6740795ac22,tactical_rule_based,strategic_rule_based,1,56,f2447b80641ec34add79fe9ecd3a0b8b15c9acc3587e6f58b8bb6a410315c516,1,flag_capture,112,win
1,m-236d436ddabfe482d3138734,u-a5d9f7c4a13d4d1579e8d377,tactical_rule_based,strategic_rule_based,1,34,9097ec087cf2b2f986c5fb47bc22f2f76ea8c0180662b2f5b09875c63f191f01,1,flag_capture,346,win
1,m-238ee9f44110b68b178fce32,u-58df7e5686d50256f20dfbd1,basic_heuristic,tactical_rule_based,1,52,5cbeb7f662062728f9aa367d722572c01dbf89c2c0bf664f49bd51d59e3060e5,0,flag_capture,95,loss
1,m-244674a8e5fdb933a625c542,u-45d1c06f4595ab7100e5b39a,random_legal,strategic_rule_based,0,11,0b9b3a49b68fa949f02c18e46be99df5a40a08593e7e9c2ff91df62fb77b068f,1,opponent_no_legal_move,372,loss
1,m-246f948ec6a09438adf8f03b,u-6e31f05da83d5ac00ecc8a26,tactical_rule_based,strategic_rule_based,0,14,2155ae7497ccecc09c126c52b8eaffd41053f7c58508a4e18b204501ad4245ac,1,opponent_no_legal_move,490,loss
1,m-257837774d0c8219fd3a2857,u-353061c7c20bb211ce9a0b5a,tactical_rule_based,strategic_rule_based,0,13,89c0a6f7b3845bb265e6bd3154246be4b22dfc878e2fc03e6a73c22420213662,0,opponent_no_legal_move,305,win
1,m-257c3ed1f35d53d3f6b4cb42,u-02d574299dec0119371ab8b2,basic_heuristic,tactical_rule_based,1,42,5dd2bfbfd4d21aa7f70569b6a18a1acbde5b68552654ef0b2c1da6a4ea715476,0,opponent_no_legal_move,247,loss
1,m-27a5f5e36ad7b0cddc540e23,u-5013c6273be712a60f947a39,random_legal,strategic_rule_based,1,17,0777db7001503593f12c620425bc50c8d57b1c84b748588e5e443fc0ef672d68,0,flag_capture,393,loss
1,m-28eb152e04345e547a7e6912,u-8fc6da67e3538f26bc54b7a7,basic_heuristic,tactical_rule_based,0,61,ff5ea55912cdece839fe2594d9010f2b6fa82ebd991c65dfbb33e963b46f9743,1,flag_capture,154,loss
1,m-29249017acbd32c4bc35064d,u-ed8720c245e4f925f4308faa,basic_heuristic,tactical_rule_based,0,62,1abedad0e3d847a1ad05956cbfda8480b39dca9d70fc95d06342e078eca07258,0,flag_capture,217,win
1,m-29a1620754ae0e7b2062c4f1,u-662430f37d0a362c40329cea,strategic_rule_based,stress_draw_seeker,0,38,f02125767360fb842c223ef55e5c589589eb9a0d3579c5239bbe03b1f64d0388,0,flag_capture,371,win
1,m-29d603e1108d055a66498a6e,u-45d1c06f4595ab7100e5b39a,random_legal,strategic_rule_based,1,11,f5271aa57f48337b616b823917ea5fad635a52ebc0d986f7113b3408dbb2bfe3,0,flag_capture,465,loss
1,m-2a9da5f7ad441c59ef43971b,u-3bbe58b1c880e0b800ff2468,random_legal,strategic_rule_based,0,18,1190f2d0d23bc30d632245355fd89fd1134f803c1d624908199dfdb2183af835,1,flag_capture,92,loss
1,m-2c8c492bccf87ee8266cce7b,u-27dfe8846715f9ce5dceccf4,basic_heuristic,tactical_rule_based,0,44,912bf3296892f740578452126ceb7955ac4ae4240b4cba8e34a3aaa819c2cd52,1,flag_capture,64,loss
1,m-2cfa3913ca0e25dcafa04559,u-39906d1644a5df2566fbbbcd,basic_heuristic,tactical_rule_based,0,11,9969a903d1b287c4c8f941190a6ff83ae1f9907489800a9d165c2281bfaa87a2,1,opponent_no_legal_move,210,loss
1,m-2d5b4890a81ac9db89f1d409,u-d94d4302d2b953cb3cfbb9d5,random_legal,strategic_rule_based,0,52,d1c43885b3fcb57dc191445425f4015685e02d7713aae081358a68322c15aff3,1,flag_capture,310,loss
1,m-2e070c072eab78739f8044b2,u-98359c613be53dfa2138e4b7,tactical_rule_based,strategic_rule_based,1,40,09e0487a7c9e3b4eb842ed6288e8a4327b02f9bf1d59739933e55826b84f5bbe,1,flag_capture,602,win
1,m-2f48fa18d5a59d05b8abb200,u-492b8dd33272dc049c8bc16c,random_legal,strategic_rule_based,1,36,22eaa1e45f27a7876cb1252e30a2a8e459edc4c9c61b369c98ac032581c80cdb,0,flag_capture,247,loss
1,m-2f8c7beefb8c62f5a4e7fd10,u-fcefdb2d79f28547fd082fd2,strategic_rule_based,stress_draw_seeker,1,41,826b92e7e46e8504051d76b056cd9e0cbcf537807a4fbb6ffc0126a3dcaf4e7a,1,flag_capture,196,win
1,m-3020b5e49801ce06ffbf2551,u-e36e8e73e89b5ae1873bb569,tactical_rule_based,strategic_rule_based,0,37,3a903e0bfc7af9b4d9ce294c11293d110f71ab06b3abb61aeafecf7507a424e0,0,flag_capture,451,win
1,m-30b2407ab0c1c6bbae2fa08a,u-e41c2870830bcab6ba141674,strategic_rule_based,stress_draw_seeker,1,37,bb806ba87345c63b95776f031ac0ded73d536b91c4f7c0eb5949481a44203c79,1,flag_capture,322,win
1,m-30b8391bd4557d9328ab388c,u-abe5a64055da0ddece8893b8,strategic_rule_based,stress_draw_seeker,1,51,f96d2880ac6a6965088f9990458ebe38a84184873f15564ca3545e89232dcaa0,1,flag_capture,14,win
1,m-313d247fb24fbadf41b697b7,u-6681cbbd571205c621a4ecdd,basic_heuristic,tactical_rule_based,0,29,045da883e25b1583fe3b305b4aaa5bab653a0861c0f2fa7befbcf8d4a8e673c3,1,flag_capture,188,loss
1,m-316360007bbadd5d913a177a,u-22d612af1e68d0b8491ad529,basic_heuristic,tactical_rule_based,0,27,e0b83f10b1915ef30fd5b936b125349133ffb3f7333e1b2bea96ed8dfe062b48,1,opponent_no_legal_move,178,loss
1,m-316874e9b2a0f2fb4bb7c312,u-5c640903c0652d53d98a94a6,tactical_rule_based,strategic_rule_based,0,46,569ff5df15065365361cf7ceca3fcf4605ebbcafea29cadcb61dbb7ac3ffca2d,0,flag_capture,325,win
1,m-324d56f4c190a98d640161c2,u-1669176b59bbabc085b2a7a3,random_legal,strategic_rule_based,0,53,6df5f8f91b05631681ba1f8830aa018eede3664da096030c696c20e04fe87f46,1,flag_capture,174,loss
1,m-3256417fae87b8c9ea763796,u-f6e7bcdf111a20901f32ab31,strategic_rule_based,stress_draw_seeker,0,27,08e3296a1aaf29f3bc7331fa03a174d4e4f6428e4b597b3a77910dbd5526738c,0,flag_capture,305,win
1,m-3287b97c6aa4b2465a2604e0,u-fa3eef3e5be68cb4580944ce,basic_heuristic,tactical_rule_based,1,48,150b640022f6993660b750c779d8ec8584455dddeb59f97f160952d839b6eefc,1,flag_capture,166,win
1,m-32de47044cc17c5f19d2485d,u-cc21a262afc3f2a5caaa9654,basic_heuristic,tactical_rule_based,1,21,763c7808f2633b911b9c71d9d7f6e2683387063b7e4ce194965e644ca882a716,,battleless_move_limit_draw,544,draw
