board_id,arm_id,stratum,setup_source,player_color,ordinal,match_id,opponent_policy,outcome,effective_score,winner,terminal_reason,plies,player_decisions,seconds,player_seconds,seconds_per_player_move,move_changes,move_change_rate,c1_forwards
phase12_match_v1|ms=2026082003|st=phase9_selfplay|src=p10d|pl=blue|g=01,search_agent1c,phase9_selfplay,p10d,blue,1,m-5c88e7bf17f53fa506911507,phase12_match_phase9_opponent_v1@phase12_match_test_v1,loss,0.0,red,flag_capture,55,27,8.4187,8.3549,0.30944,3,0.11111,22650
phase12_match_v1|ms=2026082003|st=phase9_selfplay|src=p10d|pl=blue|g=01,search_oracle,phase9_selfplay,p10d,blue,1,m-5c88e7bf17f53fa506911507,phase12_match_phase9_opponent_v1@phase12_match_test_v1,loss,0.0,red,flag_capture,111,55,2.293,2.1741,0.03953,8,0.14545,2960
phase12_match_v1|ms=2026082003|st=phase9_selfplay|src=p10d|pl=blue|g=01,search_original_phase11,phase9_selfplay,p10d,blue,1,m-5c88e7bf17f53fa506911507,phase12_match_phase9_opponent_v1@phase12_match_test_v1,loss,0.0,red,flag_capture,107,53,16.1071,15.9846,0.3016,8,0.15094,43908
phase12_match_v1|ms=2026082003|st=phase9_selfplay|src=p10d|pl=blue|g=01,search_remaining_count,phase9_selfplay,p10d,blue,1,m-5c88e7bf17f53fa506911507,phase12_match_phase9_opponent_v1@phase12_match_test_v1,loss,0.0,red,flag_capture,97,48,13.327,13.2161,0.27534,6,0.125,35940
phase12_match_v1|ms=2026082003|st=phase9_selfplay|src=p10d|pl=red|g=00,direct_c1,phase9_selfplay,p10d,red,0,m-2727ffea0e68a65a5c76dfc9,phase12_match_phase9_opponent_v1@phase12_match_test_v1,loss,0.0,blue,flag_capture,744,372,1.5817,0.6893,0.00185,0,,372
phase12_match_v1|ms=2026082003|st=phase9_selfplay|src=p10d|pl=red|g=00,search_agent1c,phase9_selfplay,p10d,red,0,m-2727ffea0e68a65a5c76dfc9,phase12_match_phase9_opponent_v1@phase12_match_test_v1,loss,0.0,blue,flag_capture,588,294,105.44,100.433,0.34161,24,0.08163,259044
phase12_match_v1|ms=2026082003|st=phase9_selfplay|src=p10d|pl=red|g=00,search_oracle,phase9_selfplay,p10d,red,0,m-2727ffea0e68a65a5c76dfc9,phase12_match_phase9_opponent_v1@phase12_match_test_v1,win,1.0,red,flag_capture,545,273,12.449,11.3437,0.04155,36,0.13187,15497
phase12_match_v1|ms=2026082003|st=phase9_selfplay|src=p10d|pl=red|g=00,search_original_phase11,phase9_selfplay,p10d,red,0,m-2727ffea0e68a65a5c76dfc9,phase12_match_phase9_opponent_v1@phase12_match_test_v1,win,1.0,red,flag_capture,387,194,69.3578,66.1317,0.34089,20,0.10309,172666
phase12_match_v1|ms=2026082003|st=phase9_selfplay|src=p10d|pl=red|g=00,search_remaining_count,phase9_selfplay,p10d,red,0,m-2727ffea0e68a65a5c76dfc9,phase12_match_phase9_opponent_v1@phase12_match_test_v1,win,1.0,red,flag_capture,293,147,49.5603,47.2558,0.32147,11,0.07483,125768
phase12_match_v1|ms=2026082003|st=phase9_selfplay|src=p10d|pl=red|g=01,direct_c1,phase9_selfplay,p10d,red,1,m-4807317aa20e85b31374295d,phase12_match_phase9_opponent_v1@phase12_match_test_v1,win,1.0,red,flag_capture,75,38,0.1372,0.0659,0.00173,0,,38
phase12_match_v1|ms=2026082003|st=phase9_selfplay|src=p10d|pl=red|g=01,search_agent1c,phase9_selfplay,p10d,red,1,m-4807317aa20e85b31374295d,phase12_match_phase9_opponent_v1@phase12_match_test_v1,win,1.0,red,flag_capture,71,36,12.0939,12.0131,0.3337,7,0.19444,31786
phase12_match_v1|ms=2026082003|st=phase9_selfplay|src=p10d|pl=red|g=01,search_oracle,phase9_selfplay,p10d,red,1,m-4807317aa20e85b31374295d,phase12_match_phase9_opponent_v1@phase12_match_test_v1,win,1.0,red,flag_capture,35,18,0.7802,0.7446,0.04137,1,0.05556,1012
