[train 14:09:36] fresh init raw c549bc02e974 ema c549bc02e974 | 6400 library formations | 56 cells
[train 14:34:44] p060 games 2048 rw/bw/d 788/808/452 | rows 2989 steps 15 | pol -0.0338 val 1.0664 kl 0.00013 H 1.807 | ema 510149f5 | 25s (play 18)
[train 14:35:09] p061 games 2048 rw/bw/d 796/801/451 | rows 3001 steps 15 | pol 0.0239 val 1.0663 kl 0.00008 H 1.802 | ema 75d717a3 | 25s (play 18)
[train 14:35:34] p062 games 2048 rw/bw/d 814/784/450 | rows 3029 steps 15 | pol -0.0120 val 1.0661 kl 0.00013 H 1.801 | ema 88bc370b | 25s (play 18)
[train 14:36:00] p063 games 2048 rw/bw/d 810/794/444 | rows 3051 steps 15 | pol 0.0171 val 1.0671 kl 0.00016 H 1.794 | ema 856508da | 26s (play 19)
[train 14:36:25] p064 games 2048 rw/bw/d 803/776/469 | rows 3015 steps 15 | pol -0.0175 val 1.0726 kl 0.00018 H 1.793 | ema 31e0b0d9 | 26s (play 19)
[train 14:36:25] checkpoint ckpt_0064
[train 14:36:51] p065 games 2048 rw/bw/d 795/807/446 | rows 3060 steps 15 | pol 0.0147 val 1.0652 kl 0.00007 H 1.789 | ema 967da8c7 | 26s (play 19)
[train 14:37:16] p066 games 2048 rw/bw/d 814/797/437 | rows 3000 steps 15 | pol -0.0227 val 1.0653 kl 0.00007 H 1.788 | ema 30b2f761 | 25s (play 18)
[train 14:37:40] p067 games 2048 rw/bw/d 791/818/439 | rows 3033 steps 15 | pol 0.0154 val 1.0640 kl 0.00013 H 1.784 | ema d84f9eab | 24s (play 18)
[train 14:38:05] p068 games 2048 rw/bw/d 821/777/450 | rows 3029 steps 15 | pol -0.0227 val 1.0675 kl 0.00016 H 1.783 | ema 15098b89 | 24s (play 18)
[train 14:38:29] p069 games 2048 rw/bw/d 781/805/462 | rows 3036 steps 15 | pol 0.0167 val 1.0675 kl 0.00021 H 1.782 | ema 37e547d3 | 25s (play 18)
[train 14:38:56] p070 games 2048 rw/bw/d 794/787/467 | rows 3049 steps 15 | pol -0.0280 val 1.0700 kl 0.00101 H 1.791 | ema 20c541a9 | 26s (play 19)
[train 14:39:20] p071 games 2048 rw/bw/d 797/796/455 | rows 2980 steps 15 | pol 0.0222 val 1.0691 kl 0.00032 H 1.793 | ema f5a9725f | 24s (play 18)
[train 14:39:45] p072 games 2048 rw/bw/d 818/784/446 | rows 2995 steps 15 | pol -0.0016 val 1.0660 kl 0.00017 H 1.786 | ema 283e6745 | 25s (play 18)
[train 14:40:10] p073 games 2048 rw/bw/d 799/799/450 | rows 3038 steps 15 | pol 0.0037 val 1.0664 kl 0.00009 H 1.780 | ema d089a75a | 25s (play 18)
[train 14:40:35] p074 games 2048 rw/bw/d 798/798/452 | rows 3004 steps 15 | pol -0.0013 val 1.0646 kl 0.00012 H 1.783 | ema 7957578d | 25s (play 18)
[train 14:41:00] p075 games 2048 rw/bw/d 809/788/451 | rows 3058 steps 15 | pol -0.0075 val 1.0652 kl 0.00024 H 1.785 | ema 3826e058 | 25s (play 18)
[train 14:41:25] p076 games 2048 rw/bw/d 797/800/451 | rows 3023 steps 15 | pol 0.0003 val 1.0654 kl 0.00011 H 1.782 | ema 4dfd9476 | 25s (play 18)
[train 14:41:49] p077 games 2048 rw/bw/d 786/801/461 | rows 3052 steps 15 | pol 0.0074 val 1.0682 kl 0.00008 H 1.781 | ema 2bfe8bad | 24s (play 18)
[train 14:42:14] p078 games 2048 rw/bw/d 792/815/441 | rows 3043 steps 15 | pol -0.0147 val 1.0652 kl 0.00018 H 1.787 | ema 47c34812 | 25s (play 18)
[train 14:42:39] p079 games 2048 rw/bw/d 781/800/467 | rows 3027 steps 15 | pol 0.0105 val 1.0716 kl 0.00022 H 1.789 | ema 0a54e517 | 24s (play 18)
[train 14:43:04] p080 games 2048 rw/bw/d 808/794/446 | rows 3069 steps 15 | pol 0.0057 val 1.0633 kl 0.00022 H 1.788 | ema a28c195b | 25s (play 19)
[train 14:43:29] p081 games 2048 rw/bw/d 775/803/470 | rows 3007 steps 15 | pol 0.0016 val 1.0729 kl 0.00010 H 1.786 | ema 1810034a | 25s (play 18)
[train 14:43:54] p082 games 2048 rw/bw/d 814/778/456 | rows 3033 steps 15 | pol -0.0088 val 1.0689 kl 0.00012 H 1.785 | ema 9d98d70e | 25s (play 18)
[train 14:44:19] p083 games 2048 rw/bw/d 804/780/464 | rows 3007 steps 15 | pol -0.0037 val 1.0692 kl 0.00013 H 1.782 | ema 4c27da88 | 25s (play 18)
[train 14:44:45] p084 games 2048 rw/bw/d 801/777/470 | rows 3054 steps 15 | pol -0.0018 val 1.0712 kl 0.00022 H 1.780 | ema 9f343e48 | 26s (play 19)
[train 14:45:10] p085 games 2048 rw/bw/d 824/769/455 | rows 3035 steps 15 | pol 0.0096 val 1.0686 kl 0.00015 H 1.774 | ema fbf3eb13 | 25s (play 18)
[train 14:45:34] p086 games 2048 rw/bw/d 783/801/464 | rows 2998 steps 15 | pol -0.0072 val 1.0701 kl 0.00013 H 1.772 | ema 07856b34 | 25s (play 18)
[train 14:46:00] p087 games 2048 rw/bw/d 776/818/454 | rows 3004 steps 15 | pol -0.0013 val 1.0688 kl 0.00011 H 1.771 | ema 3b9f3320 | 25s (play 18)
[train 14:46:25] p088 games 2048 rw/bw/d 775/807/466 | rows 3030 steps 15 | pol -0.0105 val 1.0702 kl 0.00017 H 1.771 | ema 695805bb | 25s (play 19)
[train 14:46:49] p089 games 2048 rw/bw/d 786/815/447 | rows 2985 steps 15 | pol 0.0021 val 1.0661 kl 0.00008 H 1.768 | ema 764385d0 | 24s (play 18)
[train 14:47:13] p090 games 2048 rw/bw/d 812/760/476 | rows 3026 steps 15 | pol -0.0104 val 1.0723 kl 0.00014 H 1.770 | ema 70dac605 | 24s (play 18)
[train 14:47:38] p091 games 2048 rw/bw/d 793/800/455 | rows 3034 steps 15 | pol 0.0010 val 1.0660 kl 0.00012 H 1.767 | ema 3d4e55c3 | 25s (play 18)
[train 14:48:03] p092 games 2048 rw/bw/d 813/793/442 | rows 3027 steps 15 | pol -0.0084 val 1.0645 kl 0.00009 H 1.765 | ema 24e8fd54 | 25s (play 18)
