[chain 01:55:49] candidate complete; starting control
[g3 01:57:13] control: resumed from the latest complete verified bundle bundle_0001 at period 1
[g3 07:10:49] [control] period 138/256: games 2267 (in flight 2546), c1 step 8832, setup frozen, 161.153 s
[g3 07:13:25] [control] period 139/256: games 2207 (in flight 2549), c1 step 8896, setup frozen, 156.383 s
[g3 07:15:44] [control] period 140/256: games 2224 (in flight 2550), c1 step 8960, setup frozen, 138.23 s
[g3 07:18:31] [control] period 141/256: games 2189 (in flight 2550), c1 step 9024, setup frozen, 166.876 s
[g3 07:21:09] [control] period 142/256: games 2234 (in flight 2549), c1 step 9088, setup frozen, 158.575 s
[g3 07:23:29] [control] period 143/256: games 2182 (in flight 2556), c1 step 9152, setup frozen, 139.227 s
[g3 07:26:09] [control] period 144/256: games 2245 (in flight 2548), c1 step 9216, setup frozen, 160.356 s
[g3 07:28:40] [control] period 145/256: games 2315 (in flight 2547), c1 step 9280, setup frozen, 150.155 s
[g3 07:31:02] [control] period 146/256: games 2208 (in flight 2548), c1 step 9344, setup frozen, 142.446 s
[g3 07:33:43] [control] period 147/256: games 2178 (in flight 2553), c1 step 9408, setup frozen, 160.237 s
[g3 07:36:08] [control] period 148/256: games 2284 (in flight 2552), c1 step 9472, setup frozen, 145.393 s
[g3 07:38:41] [control] period 149/256: games 2267 (in flight 2550), c1 step 9536, setup frozen, 152.293 s
[g3 07:41:16] [control] period 150/256: games 2275 (in flight 2548), c1 step 9600, setup frozen, 155.056 s
[g3 07:43:39] [control] period 151/256: games 2268 (in flight 2549), c1 step 9664, setup frozen, 143.003 s
[g3 07:46:10] [control] period 152/256: games 2303 (in flight 2547), c1 step 9728, setup frozen, 150.387 s
[g3 07:48:44] [control] period 153/256: games 2237 (in flight 2551), c1 step 9792, setup frozen, 154.667 s
[g3 07:51:12] [control] period 154/256: games 2167 (in flight 2550), c1 step 9856, setup frozen, 147.474 s
[g3 07:53:45] [control] period 155/256: games 2266 (in flight 2552), c1 step 9920, setup frozen, 152.74 s
[g3 07:56:11] [control] period 156/256: games 2235 (in flight 2544), c1 step 9984, setup frozen, 146.013 s
[g3 07:58:52] [control] period 157/256: games 2294 (in flight 2546), c1 step 10048, setup frozen, 160.503 s
[g3 08:01:18] [control] period 158/256: games 2226 (in flight 2551), c1 step 10112, setup frozen, 146.234 s
[g3 08:03:48] [control] period 159/256: games 2288 (in flight 2554), c1 step 10176, setup frozen, 149.229 s
[g3 08:06:29] [control] period 160/256: games 2190 (in flight 2552), c1 step 10240, setup frozen, 147.213 s, bundle fc0f4d017f68
[g3 08:09:07] [control] period 161/256: games 2380 (in flight 2549), c1 step 10304, setup frozen, 157.957 s
[g3 08:11:31] [control] period 162/256: games 2244 (in flight 2550), c1 step 10368, setup frozen, 144.017 s
[g3 08:14:05] [control] period 163/256: games 2281 (in flight 2549), c1 step 10432, setup frozen, 153.429 s
[g3 08:16:37] [control] period 164/256: games 2220 (in flight 2550), c1 step 10496, setup frozen, 152.095 s
[g3 08:19:15] [control] period 165/256: games 2278 (in flight 2547), c1 step 10560, setup frozen, 157.635 s
[g3 08:21:44] [control] period 166/256: games 2228 (in flight 2547), c1 step 10624, setup frozen, 148.631 s
[g3 08:24:17] [control] period 167/256: games 2228 (in flight 2542), c1 step 10688, setup frozen, 153.07 s
[g3 08:26:48] [control] period 168/256: games 2241 (in flight 2552), c1 step 10752, setup frozen, 150.319 s
[g3 08:29:16] [control] period 169/256: games 2293 (in flight 2549), c1 step 10816, setup frozen, 148.65 s
