iteration,games,learner_decisions,collection_seconds,collection_games_per_second,optimizer_updates,examples,examples_per_second,ppo_loss,value_loss,belief_loss,mean_behavior_kl,max_behavior_kl,epoch1_mean_kl,epoch2_mean_kl,kl_beta_after,mean_clip_fraction,epoch1_clip_fraction,epoch2_clip_fraction,mean_policy_entropy,entropy_coefficient,advantage_threshold,advantage_mean,advantage_min,advantage_max,filter_retention,validation_score,strategic_ewr,tactical_ewr,phase8_anchor_ewr,random_ewr,basic_ewr,archive_identity,archive_sha256,train_seconds,checkpoint_seconds,archive_seconds,iteration_seconds,elapsed_run_seconds,rss_mib
41,2048,397415,392.574,5.336,1554,794830,948.703,0.012605,0.651048,1.87714,0.030158,0.052286,0.028326,0.03198,0.2,0.272253,0.260372,0.283823,1.659171,0.00228814,0.051567,-0.004156,-1.820936,1.836039,0.250001,,,,,,,,,837.807,0.18,0.0,1239.854,37933.964,1394.5
42,2048,443119,422.886,4.9684,1732,886238,863.181,0.012209,0.662177,1.866292,0.030743,0.062739,0.0301,0.031375,0.2,0.281144,0.274716,0.287552,1.735003,0.00222034,0.047706,-0.003488,-1.738944,1.864839,0.250001,,,,,,,,,1026.711,0.164,0.0,1459.721,39394.148,1417.7
43,2048,421989,404.851,5.1786,1650,843978,906.935,0.010972,0.647205,1.879421,0.029534,0.049177,0.028273,0.030783,0.2,0.275344,0.266659,0.284072,1.752514,0.00215254,0.047175,-0.00388,-1.828143,1.827139,0.250002,,,,,,,,,930.583,0.164,0.0,1345.351,40740.084,1417.7
44,2048,453083,425.645,4.9246,1770,906166,855.026,0.011019,0.648853,1.869959,0.02845,0.048875,0.027422,0.029477,0.2,0.27282,0.264913,0.280849,1.796262,0.00208475,0.043612,-0.003839,-1.859103,1.806611,0.250001,,,,,,,,,1059.811,0.171,0.0,1496.032,42237.285,1434.5
45,2048,448714,444.899,4.7248,1754,897428,854.576,0.010794,0.662365,1.866609,0.028707,0.054603,0.026671,0.030741,0.2,0.270349,0.258827,0.281933,1.800409,0.00201695,0.045172,-0.003175,-1.809203,1.908999,0.250001,0.814551,0.830078,0.796875,0.810547,0.992188,0.839844,canonical|H045,dea1c7c69183c71661276043c47bfed92e587419dca41ae5c84becf1d68b856e,1050.144,0.17,0.17,1505.481,43746.179,1434.5
46,2048,464359,441.63,4.7462,1814,928718,826.908,0.011227,0.662027,1.864224,0.028621,0.049382,0.027109,0.030132,0.2,0.26964,0.261771,0.277569,1.758637,0.00194915,0.042923,-0.003959,-1.960236,1.864407,0.250001,,,,,,,,,1123.121,0.164,0.0,1575.631,45901.193,1456.8
47,2048,431654,415.144,5.0486,1688,863308,867.885,0.010541,0.667362,1.872982,0.028351,0.051705,0.026887,0.029819,0.2,0.267018,0.257177,0.276155,1.726849,0.00188136,0.045395,-0.003679,-1.885848,1.951197,0.250001,,,,,,,,,994.726,0.168,0.0,1419.949,47321.959,1456.8
48,2048,406299,404.61,5.178,1588,812598,895.36,0.015108,0.656991,1.884794,0.028583,0.047121,0.02798,0.029175,0.2,0.262591,0.256618,0.26855,1.664354,0.00181356,0.047684,-0.003781,-1.942417,1.956863,0.250001,,,,,,,,,907.565,0.158,0.0,1322.008,48644.701,1456.8
49,2048,402256,394.9,5.3232,1572,804512,898.964,0.013745,0.653897,1.8761,0.029575,0.060371,0.028756,0.030393,0.2,0.259569,0.252804,0.266199,1.606799,0.00174576,0.045656,-0.004344,-1.852891,1.838404,0.25,,,,,,,,,894.932,0.17,0.0,1299.511,49945.565,1456.8
50,2048,448253,425.22,4.9482,1752,896506,821.63,0.013914,0.66827,1.871155,0.029951,0.057675,0.028907,0.030998,0.2,0.267003,0.258433,0.275709,1.685758,0.00167797,0.04147,-0.003442,-1.859183,1.925135,0.250002,0.768945,0.767578,0.755859,0.794922,0.990234,0.888672,canonical|H050,fe4e72d15b7e8d27c1e8526b6cdda2dfd4799708cf2e8ba3b5df9645410b3304,1091.13,0.163,0.169,1526.595,51472.64,1462.2
51,2048,437827,422.054,4.9668,1712,875654,846.904,0.012533,0.660279,1.870084,0.0289,0.051842,0.027604,0.030201,0.2,0.263049,0.254767,0.271394,1.64587,0.00161017,0.043686,-0.003895,-1.911302,1.811898,0.250001,,,,,,,,,1033.947,0.179,0.0,1466.448,53469.642,1462.2
52,2048,426165,412.499,5.0861,1666,852330,865.211,0.011401,0.651457,1.873004,0.029777,0.051502,0.029005,0.030546,0.2,0.265823,0.258433,0.27301,1.633589,0.00154237,0.040122,-0.003987,-1.826921,1.941621,0.250002,,,,,,,,,985.113,0.176,0.0,1407.474,54877.918,1463.1
53,2048,422020,420.726,5.0,1650,844040,880.276,0.011333,0.646136,1.872876,0.028377,0.049704,0.027379,0.029377,0.2,0.264827,0.257201,0.272651,1.658315,0.00147458,0.041332,-0.003867,-1.911954,1.94067,0.25,,,,,,,,,958.835,0.176,0.0,1389.621,56271.266,1463.1
54,2048,377230,381.122,5.5108,1474,754460,947.644,0.01226,0.638429,1.885756,0.028945,0.050099,0.028072,0.029816,0.2,0.257547,0.249841,0.265449,1.559208,0.00140678,0.047238,-0.004331,-1.86289,1.845376,0.250001,,,,,,,,,796.143,0.175,0.0,1186.329,57461.001,1463.1
55,2048,364706,375.928,5.6045,1426,729412,958.956,0.0097,0.648798,1.892653,0.02933,0.049415,0.028299,0.030349,0.2,0.254593,0.246466,0.262588,1.563818,0.00133898,0.048784,-0.003924,-1.950656,1.77451,0.250001,0.779102,0.763672,0.775391,0.820312,0.994141,0.845703,canonical|H055,8ec8bc864892b5738ccec237ee7f44445452a99731bd5f124aa3097931788d0a,760.631,0.185,0.182,1145.666,58610.185,1463.1
56,2048,377517,381.753,5.489,1476,755034,939.231,0.011675,0.650519,1.889471,0.028917,0.054006,0.027827,0.029996,0.2,0.25255,0.243282,0.261782,1.565813,0.00127119,0.046771,-0.002982,-1.86875,1.870626,0.250002,,,,,,,,,803.885,0.18,0.0,1194.603,60358.112,1479.7
57,2048,353938,367.915,5.6948,1384,707876,986.882,0.013666,0.632892,1.900684,0.029598,0.046833,0.028479,0.030691,0.2,0.250648,0.24273,0.258371,1.499694,0.00120339,0.051997,-0.003797,-1.926379,1.872673,0.250001,,,,,,,,,717.285,0.177,0.0,1094.189,61453.099,1479.7
58,2048,321195,336.939,6.2406,1256,642390,1059.257,0.011505,0.617814,1.90114,0.030234,0.064521,0.029465,0.030981,0.2,0.245712,0.238446,0.252905,1.407114,0.00113559,0.055729,-0.004159,-1.921167,1.853357,0.250001,,,,,,,,,606.453,0.173,0.0,951.529,62405.459,1479.7
59,2048,364722,378.654,5.5546,1426,729444,941.796,0.009705,0.63537,1.883743,0.028798,0.055271,0.027714,0.029878,0.2,0.251479,0.242342,0.260888,1.558074,0.0010678,0.052465,-0.003088,-1.854845,1.90082,0.250001,,,,,,,,,774.524,0.186,0.0,1162.075,63568.77,1479.7
60,2048,402746,409.825,5.138,1574,805492,879.838,0.010899,0.64403,1.880093,0.028609,0.053846,0.027014,0.030204,0.2,0.250571,0.241243,0.260113,1.647269,0.001,0.046635,-0.002722,-1.740124,1.798881,0.250001,0.776074,0.783203,0.753906,0.798828,0.980469,0.859375,canonical|H060,a684e4549aea46849a5746bd21ef83c427d4f4806a90c2649284c83f1d4a688f,915.501,0.19,0.195,1335.246,64905.263,1479.7
