iteration,opponent_kind,opponent_identity,games,learner_wins,learner_draws,learner_losses,learner_ewr,red_wins,blue_wins,draws
21,historical_snapshot,phase9_archive_v1|ns=canonical|H005,115,80,0,35,0.6956521739130435,51,64,0
21,historical_snapshot,phase9_archive_v1|ns=canonical|H010,100,73,1,26,0.735,54,45,1
21,historical_snapshot,phase9_archive_v1|ns=canonical|H015,118,64,1,53,0.5466101694915254,61,56,1
21,historical_snapshot,phase9_archive_v1|ns=canonical|H020,96,44,1,51,0.4635416666666667,51,44,1
21,rule_policy,basic_heuristic@1.0.0,46,34,0,12,0.7391304347826086,25,21,0
21,rule_policy,strategic_rule_based@1.1.0,154,110,1,43,0.7175324675324676,73,80,1
21,rule_policy,tactical_rule_based@1.0.0,107,78,0,29,0.7289719626168224,58,49,0
21,stress_policy,stress_berserker@1.0.0,35,29,0,6,0.8285714285714286,6,29,0
21,stress_policy,stress_chaos@1.0.0,34,32,0,2,0.9411764705882353,2,32,0
21,stress_policy,stress_draw_seeker@1.0.0,34,34,0,0,1.0,34,0,0
21,stress_policy,stress_information_miser@1.0.0,34,33,1,0,0.9852941176470589,33,0,1
21,stress_policy,stress_miner_rush@1.0.0,34,26,1,7,0.7794117647058824,7,26,1
21,stress_policy,stress_scout_rush@1.0.0,34,30,1,3,0.8970588235294118,30,3,1
22,current_policy,phase9_behavior_v1|ns=canonical|B022,1024,,,,,513,496,15
22,historical_snapshot,phase9_anchor_v1|H000,91,72,0,19,0.7912087912087912,45,46,0
22,historical_snapshot,phase9_archive_v1|ns=canonical|H005,104,67,1,36,0.6490384615384616,54,49,1
22,historical_snapshot,phase9_archive_v1|ns=canonical|H010,122,75,0,47,0.6147540983606558,60,62,0
22,historical_snapshot,phase9_archive_v1|ns=canonical|H015,95,57,0,38,0.6,44,51,0
22,historical_snapshot,phase9_archive_v1|ns=canonical|H020,100,50,0,50,0.5,48,52,0
22,rule_policy,basic_heuristic@1.0.0,46,39,1,6,0.8586956521739131,21,24,1
22,rule_policy,strategic_rule_based@1.1.0,154,110,1,43,0.7175324675324676,70,83,1
22,rule_policy,tactical_rule_based@1.0.0,107,79,0,28,0.7383177570093458,60,47,0
22,stress_policy,stress_berserker@1.0.0,34,31,0,3,0.9117647058823529,3,31,0
22,stress_policy,stress_chaos@1.0.0,34,34,0,0,1.0,0,34,0
22,stress_policy,stress_draw_seeker@1.0.0,34,33,1,0,0.9852941176470589,33,0,1
22,stress_policy,stress_information_miser@1.0.0,35,34,1,0,0.9857142857142858,34,0,1
22,stress_policy,stress_miner_rush@1.0.0,34,27,0,7,0.7941176470588235,7,27,0
22,stress_policy,stress_scout_rush@1.0.0,34,30,0,4,0.8823529411764706,30,4,0
23,current_policy,phase9_behavior_v1|ns=canonical|B023,1024,,,,,480,535,9
23,historical_snapshot,phase9_anchor_v1|H000,93,75,0,18,0.8064516129032258,46,47,0
23,historical_snapshot,phase9_archive_v1|ns=canonical|H005,97,68,0,29,0.7010309278350515,49,48,0
23,historical_snapshot,phase9_archive_v1|ns=canonical|H010,120,86,0,34,0.7166666666666667,51,69,0
23,historical_snapshot,phase9_archive_v1|ns=canonical|H015,100,57,1,42,0.575,50,49,1
23,historical_snapshot,phase9_archive_v1|ns=canonical|H020,102,55,0,47,0.5392156862745098,63,39,0
23,rule_policy,basic_heuristic@1.0.0,46,35,0,11,0.7608695652173914,24,22,0
23,rule_policy,strategic_rule_based@1.1.0,154,109,2,43,0.7142857142857143,69,83,2
23,rule_policy,tactical_rule_based@1.0.0,107,78,1,28,0.7336448598130841,58,48,1
23,stress_policy,stress_berserker@1.0.0,34,23,0,11,0.6764705882352942,11,23,0
23,stress_policy,stress_chaos@1.0.0,35,34,0,1,0.9714285714285714,1,34,0
23,stress_policy,stress_draw_seeker@1.0.0,34,34,0,0,1.0,34,0,0
23,stress_policy,stress_information_miser@1.0.0,34,34,0,0,1.0,34,0,0
23,stress_policy,stress_miner_rush@1.0.0,34,29,0,5,0.8529411764705882,5,29,0
23,stress_policy,stress_scout_rush@1.0.0,34,29,0,5,0.8529411764705882,29,5,0
24,current_policy,phase9_behavior_v1|ns=canonical|B024,1024,,,,,512,505,7
24,historical_snapshot,phase9_anchor_v1|H000,105,81,0,24,0.7714285714285715,59,46,0
24,historical_snapshot,phase9_archive_v1|ns=canonical|H005,91,68,1,22,0.7527472527472527,45,45,1
24,historical_snapshot,phase9_archive_v1|ns=canonical|H010,107,72,0,35,0.6728971962616822,54,53,0
24,historical_snapshot,phase9_archive_v1|ns=canonical|H015,107,56,0,51,0.5233644859813084,59,48,0
24,historical_snapshot,phase9_archive_v1|ns=canonical|H020,102,54,0,48,0.5294117647058824,57,45,0
24,rule_policy,basic_heuristic@1.0.0,46,35,0,11,0.7608695652173914,24,22,0
24,rule_policy,strategic_rule_based@1.1.0,154,120,1,33,0.7824675324675324,69,84,1
24,rule_policy,tactical_rule_based@1.0.0,107,85,1,21,0.7990654205607477,53,53,1
24,stress_policy,stress_berserker@1.0.0,34,29,0,5,0.8529411764705882,5,29,0
