candidate_id,config_digest,parameters,width,blocks,heads,feed_forward_width,precision,legality,action_frame,workers,environment_count,inference_batch_size,mode,group,timing_mode,snapshot_interval,status,duration_seconds,global_steps,positions,transitions,games,positions_per_second,games_per_second,mean_game_length,terminal_reason_counts,mps_inference_fraction,host_to_device_fraction,normalized_legality_sampling_fraction,frame_conversion_fraction,compact_legality_fraction,writeback_fraction,worker_active_fraction,worker_wait_fraction,trajectory_write_fraction,coordinator_active_fraction,coordinator_wait_fraction,barrier_fraction,straggler_fraction,mean_step_ms,p50_step_ms,p95_step_ms,max_step_ms,process_rss_bytes,worker_max_rss_bytes,shared_memory_bytes,metal_memory_bytes,metal_allocated_bytes,swap_bytes,worker_errors,model_errors,nonfinite_outputs,illegal_actions,action_frame_errors,other_errors,trajectory_bytes,trajectory_records,trajectory_decisions,bytes_per_decision,bytes_per_game,gib_per_hour,snapshot_count,snapshot_bytes,verified_decisions,reconstruction_mismatches,game_metrics_are_steady_state,collection_policy_version,error
C1,31ca84ab140c523e65567787b0289fe0dbdf5ab0344667410a5fda7060cfe07d,863959,128,4,4,512,float16,dense,perspective_normalized_squares,6,1536,2048,collection_only,worker_sensitivity,detailed,0,ok,20.005488,150,230400,230400,368,11516.839683,18.394952,69.252717,"{""flag_capture"": 368}",0.755716,0.027135,0.07098,0.065659,4e-06,0.002077,0.1381,0.8619,0.0,0.855971,0.143695,0.142792,0.007296,133.361308,133.655125,135.471292,143.507834,3949199360,1619607552,94288896,2306621440,2429440,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,,False,phase6_candidate_c1_float16_v1,
C1,31ca84ab140c523e65567787b0289fe0dbdf5ab0344667410a5fda7060cfe07d,863959,128,4,4,512,float16,dense,perspective_normalized_squares,14,1536,2048,collection_only,worker_sensitivity,detailed,0,ok,20.112812,157,241152,241152,387,11989.969329,19.241467,73.385013,"{""flag_capture"": 387}",0.786902,0.028258,0.074661,0.068909,4e-06,0.000513,0.075303,0.924697,0.0,0.890401,0.109257,0.107733,0.044209,128.098372,128.030625,131.209791,146.017541,3949199360,3291856896,94288896,2306621440,2429440,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,,False,phase6_candidate_c1_float16_v1,
C2,3f49fc3a7c345b7a0a43b683861dd33e3cb82d59b322386e4fe1089ef945dba3,1922519,192,4,6,768,float16,dense,perspective_normalized_squares,10,1536,512,collection_only,batch_sweep,detailed,0,ok,20.094858,97,148992,148992,280,7414.43425,13.933913,49.625,"{""flag_capture"": 280}",0.857215,0.021285,0.058886,0.049084,2e-06,0.002863,0.054696,0.945304,0.0,0.94029,0.059365,0.058621,0.006043,207.154638,207.075958,210.205875,217.703125,3949264896,2365849600,94288896,2308718592,7402240,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,,False,phase6_candidate_c2_float16_v1,
C2,3f49fc3a7c345b7a0a43b683861dd33e3cb82d59b322386e4fe1089ef945dba3,1922519,192,4,6,768,float16,dense,perspective_normalized_squares,10,1536,1024,collection_only,batch_sweep,detailed,0,ok,20.139729,99,152064,152064,284,7550.449118,14.101481,50.397887,"{""flag_capture"": 284}",0.866549,0.018852,0.05356,0.046661,2e-06,0.000871,0.055546,0.944454,0.0,0.939871,0.059836,0.059063,0.005301,203.422883,203.417167,206.289541,225.488959,3950198784,2369093632,94288896,2308718592,7402240,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,,False,phase6_candidate_c2_float16_v1,
C2,3f49fc3a7c345b7a0a43b683861dd33e3cb82d59b322386e4fe1089ef945dba3,1922519,192,4,6,768,float16,dense,perspective_normalized_squares,10,1536,1536,collection_only,batch_sweep,detailed,0,ok,20.183325,97,148992,148992,280,7381.935503,13.872838,49.625,"{""flag_capture"": 280}",0.838985,0.01742,0.083073,0.079418,2e-06,0.000313,0.055402,0.944598,0.0,0.939831,0.059943,0.059186,0.005543,208.066984,200.915208,235.056542,271.397792,4019781632,2364489728,94288896,3382460416,7402240,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,,False,phase6_candidate_c2_float16_v1,
C2,3f49fc3a7c345b7a0a43b683861dd33e3cb82d59b322386e4fe1089ef945dba3,1922519,192,4,6,768,float16,dense,perspective_normalized_squares,10,1536,2048,collection_only,batch_sweep,detailed,0,ok,20.018071,100,153600,153600,291,7673.066904,14.536865,51.158076,"{""flag_capture"": 291}",0.872752,0.017941,0.047577,0.043936,3e-06,0.001395,0.055848,0.944152,0.0,0.939705,0.060067,0.059301,0.005339,200.172192,200.45152,202.437958,209.825375,4022386688,2369257472,94288896,3382460416,7402240,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,,False,phase6_candidate_c2_float16_v1,
C2,3f49fc3a7c345b7a0a43b683861dd33e3cb82d59b322386e4fe1089ef945dba3,1922519,192,4,6,768,float16,dense,perspective_normalized_squares,10,512,512,collection_only,environment_sweep,detailed,0,ok,20.030201,287,146944,146944,241,7336.122058,12.031831,118.73029,"{""battleless_move_limit_draw"": 7, ""flag_capture"": 234}",0.84668,0.021476,0.060993,0.051065,6e-06,0.002159,0.056976,0.943024,0.0,0.931426,0.0681,0.066039,0.013485,69.7837,69.164583,72.278958,104.526333,4022386688,2247573504,31429632,3382460416,7402240,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,,False,phase6_candidate_c2_float16_v1,
C2,3f49fc3a7c345b7a0a43b683861dd33e3cb82d59b322386e4fe1089ef945dba3,1922519,192,4,6,768,float16,dense,perspective_normalized_squares,10,1024,1024,collection_only,environment_sweep,detailed,0,ok,20.072863,149,152576,152576,248,7601.107849,12.354989,68.407258,"{""flag_capture"": 248}",0.86625,0.018688,0.053073,0.047796,3e-06,0.000393,0.055359,0.944641,0.0,0.938465,0.061247,0.06015,0.006909,134.708927,134.44225,136.916166,169.456875,4022386688,2318712832,62859264,3382460416,7402240,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,,False,phase6_candidate_c2_float16_v1,
C2,3f49fc3a7c345b7a0a43b683861dd33e3cb82d59b322386e4fe1089ef945dba3,1922519,192,4,6,768,float16,dense,perspective_normalized_squares,10,2048,1024,collection_only,environment_sweep,detailed,0,ok,20.114145,75,153600,153600,277,7636.417233,13.771403,39.375451,"{""flag_capture"": 277}",0.870492,0.018437,0.050216,0.045028,2e-06,0.000266,0.05595,0.94405,0.0,0.939443,0.06033,0.059761,0.004792,268.179832,267.13975,270.832333,271.532042,4061396992,2421768192,125718528,3382460416,7402240,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,,False,phase6_candidate_c2_float16_v1,
C2,3f49fc3a7c345b7a0a43b683861dd33e3cb82d59b322386e4fe1089ef945dba3,1922519,192,4,6,768,float16,dense,perspective_normalized_squares,10,1536,1024,production_recording,recording_sweep,detailed,32,ok,20.060888,83,127488,127488,240,6355.05281,11.963578,43.479167,"{""flag_capture"": 240}",0.727473,0.015973,0.068626,0.027679,0.128,0.000319,0.053296,0.946704,0.008557,0.940425,0.059252,0.058572,0.0067,241.687488,239.909959,254.495791,261.484792,4061396992,2597748736,94288896,3382460416,7402240,0,0,0,0,0,0,0,1396672,270,136704,10.21676,5172.859259,0.233425,476,189557,0,0,False,phase6_candidate_c2_float16_v1,
