scope_type,scope,model,bin,bin_lower,bin_upper,events,mean_confidence,accuracy,abs_gap,scope_ece
opponent_stratum,phase8_anchor,learned,8,0.533333,0.600000,13135,0.564944,0.550895,0.014049,0.040005
opponent_stratum,phase8_anchor,learned,9,0.600000,0.666667,10500,0.632212,0.618952,0.013260,0.040005
opponent_stratum,phase8_anchor,learned,10,0.666667,0.733333,9802,0.699673,0.672924,0.026749,0.040005
opponent_stratum,phase8_anchor,learned,11,0.733333,0.800000,9316,0.766818,0.727136,0.039682,0.040005
opponent_stratum,phase8_anchor,learned,12,0.800000,0.866667,9193,0.834020,0.758294,0.075726,0.040005
opponent_stratum,phase8_anchor,learned,13,0.866667,0.933333,11006,0.901089,0.817554,0.083535,0.040005
opponent_stratum,phase8_anchor,learned,14,0.933333,1.000000,9146,0.961371,0.883884,0.077488,0.040005
opponent_stratum,phase8_anchor,baseline,0,0.000000,0.066667,0,,,,0.013448
opponent_stratum,phase8_anchor,baseline,1,0.066667,0.133333,808,0.127205,0.126238,0.000968,0.013448
opponent_stratum,phase8_anchor,baseline,2,0.133333,0.200000,377123,0.174279,0.183386,0.009106,0.013448
opponent_stratum,phase8_anchor,baseline,3,0.200000,0.266667,313331,0.220163,0.232007,0.011844,0.013448
opponent_stratum,phase8_anchor,baseline,4,0.266667,0.333333,53112,0.286593,0.305035,0.018442,0.013448
opponent_stratum,phase8_anchor,baseline,5,0.333333,0.400000,21399,0.347601,0.394364,0.046763,0.013448
opponent_stratum,phase8_anchor,baseline,6,0.400000,0.466667,8353,0.419508,0.515025,0.095516,0.013448
opponent_stratum,phase8_anchor,baseline,7,0.466667,0.533333,4516,0.499926,0.584367,0.084441,0.013448
opponent_stratum,phase8_anchor,baseline,8,0.533333,0.600000,829,0.559921,0.670688,0.110766,0.013448
opponent_stratum,phase8_anchor,baseline,9,0.600000,0.666667,661,0.603442,0.697428,0.093986,0.013448
opponent_stratum,phase8_anchor,baseline,10,0.666667,0.733333,1119,0.668709,0.715818,0.047108,0.013448
opponent_stratum,phase8_anchor,baseline,11,0.733333,0.800000,334,0.750000,0.787425,0.037425,0.013448
opponent_stratum,phase8_anchor,baseline,12,0.800000,0.866667,388,0.824742,0.824742,0.000000,0.013448
opponent_stratum,phase8_anchor,baseline,13,0.866667,0.933333,0,,,,0.013448
opponent_stratum,phase8_anchor,baseline,14,0.933333,1.000000,663,1.000000,1.000000,0.000000,0.013448
