benchmark_state_id,state_ordinal,configuration,worlds,opponent_stratum,observer_color,progress_bucket,unresolved_pieces,hidden_pieces,public_state_identity,document_ms,forward_ms,sampling_ms,total_ms
phase11_benchmark_state_v1|ms=2026081901|n=008,8,forward_only,0,phase9_selfplay,red,early,39,39,b54720a46427ee189cbd6d79bb93aae55a6b0d5cf723b37aa6f901a6a400c35e,0.251417,1.457958,0.126292,1.835667
phase11_benchmark_state_v1|ms=2026081901|n=008,8,forward_plus_16_worlds,16,phase9_selfplay,red,early,39,39,b54720a46427ee189cbd6d79bb93aae55a6b0d5cf723b37aa6f901a6a400c35e,0.2315,1.250542,11.29925,12.781292
phase11_benchmark_state_v1|ms=2026081901|n=008,8,forward_plus_32_worlds,32,phase9_selfplay,red,early,39,39,b54720a46427ee189cbd6d79bb93aae55a6b0d5cf723b37aa6f901a6a400c35e,0.232334,1.275166,22.376209,23.883709
phase11_benchmark_state_v1|ms=2026081901|n=008,8,forward_plus_64_worlds,64,phase9_selfplay,red,early,39,39,b54720a46427ee189cbd6d79bb93aae55a6b0d5cf723b37aa6f901a6a400c35e,0.234333,1.294625,44.722042,46.251
phase11_benchmark_state_v1|ms=2026081901|n=009,9,forward_only,0,phase9_selfplay,red,early,40,40,395056453a62a92cacd3b376243c6c3e40119c85a9b6d896932def80160c745a,0.241834,1.468833,0.1275,1.838167
phase11_benchmark_state_v1|ms=2026081901|n=009,9,forward_plus_16_worlds,16,phase9_selfplay,red,early,40,40,395056453a62a92cacd3b376243c6c3e40119c85a9b6d896932def80160c745a,0.229166,1.265917,11.387208,12.882291
phase11_benchmark_state_v1|ms=2026081901|n=009,9,forward_plus_32_worlds,32,phase9_selfplay,red,early,40,40,395056453a62a92cacd3b376243c6c3e40119c85a9b6d896932def80160c745a,0.237083,1.322542,22.502375,24.062
phase11_benchmark_state_v1|ms=2026081901|n=009,9,forward_plus_64_worlds,64,phase9_selfplay,red,early,40,40,395056453a62a92cacd3b376243c6c3e40119c85a9b6d896932def80160c745a,0.236583,1.332292,44.929,46.497875
phase11_benchmark_state_v1|ms=2026081901|n=010,10,forward_only,0,phase9_selfplay,red,middle,12,12,4fd6663a06fab27b209f7de26aeb33921977cef08f6b5967969678456862772b,0.283834,1.586541,0.053209,1.923584
phase11_benchmark_state_v1|ms=2026081901|n=010,10,forward_plus_16_worlds,16,phase9_selfplay,red,middle,12,12,4fd6663a06fab27b209f7de26aeb33921977cef08f6b5967969678456862772b,0.25325,1.288375,6.497041,8.038666
phase11_benchmark_state_v1|ms=2026081901|n=010,10,forward_plus_32_worlds,32,phase9_selfplay,red,middle,12,12,4fd6663a06fab27b209f7de26aeb33921977cef08f6b5967969678456862772b,0.491875,2.162459,12.906458,15.560792
phase11_benchmark_state_v1|ms=2026081901|n=010,10,forward_plus_64_worlds,64,phase9_selfplay,red,middle,12,12,4fd6663a06fab27b209f7de26aeb33921977cef08f6b5967969678456862772b,0.281833,2.513875,26.209959,29.005667
phase11_benchmark_state_v1|ms=2026081901|n=011,11,forward_only,0,phase9_selfplay,red,middle,30,30,a5d3a908fd9b0667f6e0772aa0354e5801759de132dba6d1ab8f6cb81d88fdf6,0.295792,1.616291,0.108625,2.020708
phase11_benchmark_state_v1|ms=2026081901|n=011,11,forward_plus_16_worlds,16,phase9_selfplay,red,middle,30,30,a5d3a908fd9b0667f6e0772aa0354e5801759de132dba6d1ab8f6cb81d88fdf6,0.260209,1.318791,10.213167,11.792167
phase11_benchmark_state_v1|ms=2026081901|n=011,11,forward_plus_32_worlds,32,phase9_selfplay,red,middle,30,30,a5d3a908fd9b0667f6e0772aa0354e5801759de132dba6d1ab8f6cb81d88fdf6,0.262375,1.375542,20.20475,21.842667
phase11_benchmark_state_v1|ms=2026081901|n=011,11,forward_plus_64_worlds,64,phase9_selfplay,red,middle,30,30,a5d3a908fd9b0667f6e0772aa0354e5801759de132dba6d1ab8f6cb81d88fdf6,0.27425,1.522709,38.970166,40.767125
phase11_benchmark_state_v1|ms=2026081901|n=012,12,forward_only,0,phase9_selfplay,red,middle,34,34,0d7cb5ccbd09d4cfaf5593f59e6750b392677b59747f1ab5307dad4c07756985,0.285042,1.660708,0.12275,2.0685
phase11_benchmark_state_v1|ms=2026081901|n=012,12,forward_plus_16_worlds,16,phase9_selfplay,red,middle,34,34,0d7cb5ccbd09d4cfaf5593f59e6750b392677b59747f1ab5307dad4c07756985,0.263125,1.43925,11.003333,12.705708
phase11_benchmark_state_v1|ms=2026081901|n=012,12,forward_plus_32_worlds,32,phase9_selfplay,red,middle,34,34,0d7cb5ccbd09d4cfaf5593f59e6750b392677b59747f1ab5307dad4c07756985,0.273458,1.537125,21.640417,23.451
phase11_benchmark_state_v1|ms=2026081901|n=012,12,forward_plus_64_worlds,64,phase9_selfplay,red,middle,34,34,0d7cb5ccbd09d4cfaf5593f59e6750b392677b59747f1ab5307dad4c07756985,0.291334,1.695708,42.29975,44.286792
phase11_benchmark_state_v1|ms=2026081901|n=013,13,forward_only,0,phase9_selfplay,red,middle,35,35,3fe8188babf8f4085df74ae57cde09a71185bb5acf151e136cef7e106c47c684,0.286958,1.722667,0.125125,2.13475
phase11_benchmark_state_v1|ms=2026081901|n=013,13,forward_plus_16_worlds,16,phase9_selfplay,red,middle,35,35,3fe8188babf8f4085df74ae57cde09a71185bb5acf151e136cef7e106c47c684,0.28325,1.4505,11.049,12.78275
phase11_benchmark_state_v1|ms=2026081901|n=013,13,forward_plus_32_worlds,32,phase9_selfplay,red,middle,35,35,3fe8188babf8f4085df74ae57cde09a71185bb5acf151e136cef7e106c47c684,0.272666,1.408459,22.037166,23.718291
phase11_benchmark_state_v1|ms=2026081901|n=013,13,forward_plus_64_worlds,64,phase9_selfplay,red,middle,35,35,3fe8188babf8f4085df74ae57cde09a71185bb5acf151e136cef7e106c47c684,0.279459,1.518875,44.026208,45.824542
phase11_benchmark_state_v1|ms=2026081901|n=014,14,forward_only,0,phase9_selfplay,red,middle,36,36,1380b5514e270a94ec9c664bba829adc58cece9efad39894b2cb48407f0763b8,0.293917,1.742583,0.128792,2.165292
phase11_benchmark_state_v1|ms=2026081901|n=014,14,forward_plus_16_worlds,16,phase9_selfplay,red,middle,36,36,1380b5514e270a94ec9c664bba829adc58cece9efad39894b2cb48407f0763b8,0.274417,1.386,11.331,12.991417
phase11_benchmark_state_v1|ms=2026081901|n=014,14,forward_plus_32_worlds,32,phase9_selfplay,red,middle,36,36,1380b5514e270a94ec9c664bba829adc58cece9efad39894b2cb48407f0763b8,0.2585,1.600292,22.401875,24.260667
phase11_benchmark_state_v1|ms=2026081901|n=014,14,forward_plus_64_worlds,64,phase9_selfplay,red,middle,36,36,1380b5514e270a94ec9c664bba829adc58cece9efad39894b2cb48407f0763b8,0.291958,1.680458,46.595125,48.567541
phase11_benchmark_state_v1|ms=2026081901|n=015,15,forward_only,0,phase9_selfplay,red,middle,36,36,a4c999ca29a9266afeabdef34566a8efe80941c424e99b8e725dd36a4334bd41,0.293208,1.661833,0.1305,2.085541
phase11_benchmark_state_v1|ms=2026081901|n=015,15,forward_plus_16_worlds,16,phase9_selfplay,red,middle,36,36,a4c999ca29a9266afeabdef34566a8efe80941c424e99b8e725dd36a4334bd41,0.262208,1.292958,11.231084,12.78625
phase11_benchmark_state_v1|ms=2026081901|n=015,15,forward_plus_32_worlds,32,phase9_selfplay,red,middle,36,36,a4c999ca29a9266afeabdef34566a8efe80941c424e99b8e725dd36a4334bd41,0.283917,1.489583,22.48475,24.25825
phase11_benchmark_state_v1|ms=2026081901|n=015,15,forward_plus_64_worlds,64,phase9_selfplay,red,middle,36,36,a4c999ca29a9266afeabdef34566a8efe80941c424e99b8e725dd36a4334bd41,0.291042,1.745458,44.003708,46.040208
phase11_benchmark_state_v1|ms=2026081901|n=016,16,forward_only,0,phase9_selfplay,red,middle,37,37,2b6f2a1e4f66ad99f85063a03b22fe61bc57c3ea89bbf1a6734dbad3326d63a5,0.292833,1.751,0.1335,2.177333
phase11_benchmark_state_v1|ms=2026081901|n=016,16,forward_plus_16_worlds,16,phase9_selfplay,red,middle,37,37,2b6f2a1e4f66ad99f85063a03b22fe61bc57c3ea89bbf1a6734dbad3326d63a5,0.265125,1.387291,11.646625,13.299041
phase11_benchmark_state_v1|ms=2026081901|n=016,16,forward_plus_32_worlds,32,phase9_selfplay,red,middle,37,37,2b6f2a1e4f66ad99f85063a03b22fe61bc57c3ea89bbf1a6734dbad3326d63a5,0.291,1.729791,23.037292,25.058083
phase11_benchmark_state_v1|ms=2026081901|n=016,16,forward_plus_64_worlds,64,phase9_selfplay,red,middle,37,37,2b6f2a1e4f66ad99f85063a03b22fe61bc57c3ea89bbf1a6734dbad3326d63a5,0.295,1.696584,45.924791,47.916375
phase11_benchmark_state_v1|ms=2026081901|n=017,17,forward_only,0,phase9_selfplay,red,middle,37,37,aeb656b426a498d1cc320bdd0ed8c7037f5b1527f4c143db71513b557913302a,0.292333,1.725833,0.133167,2.151333
