[coadapt 01:02:24] verifying the accepted corpus identity and every payload
[coadapt 01:03:37] fresh lineage: setup init digest c0f532e75d80 (ckpt_1024 EMA c0f532e75d80), C1 init cfe60bb0cb34
[coadapt 01:05:45] [control] period 1/256: games 1141 (in flight 2551), c1 step 64, setup frozen, 120.54 s, bundle 2feec01b324e
[coadapt 01:05:46] period 1/256 in 129 s
[coadapt 01:05:52] verifying the accepted corpus identity and every payload
[coadapt 01:07:13] resumed from bundle_0001 at period 1
[coadapt 04:17:47] [control] period 87/256: games 1864 (in flight 2557), c1 step 5568, setup frozen, 135.465 s
[coadapt 04:20:03] [control] period 88/256: games 1908 (in flight 2552), c1 step 5632, setup frozen, 136.293 s
[coadapt 04:22:20] [control] period 89/256: games 1876 (in flight 2548), c1 step 5696, setup frozen, 136.777 s
[coadapt 04:24:39] [control] period 90/256: games 1913 (in flight 2547), c1 step 5760, setup frozen, 138.351 s
[coadapt 04:26:57] [control] period 91/256: games 1870 (in flight 2550), c1 step 5824, setup frozen, 138.133 s
[coadapt 04:29:15] [control] period 92/256: games 1856 (in flight 2552), c1 step 5888, setup frozen, 137.256 s
[coadapt 04:31:31] [control] period 93/256: games 1847 (in flight 2552), c1 step 5952, setup frozen, 136.191 s
[coadapt 04:33:54] [control] period 94/256: games 1928 (in flight 2554), c1 step 6016, setup frozen, 142.728 s
[coadapt 04:36:12] [control] period 95/256: games 1872 (in flight 2549), c1 step 6080, setup frozen, 138.103 s
[coadapt 04:38:44] [control] period 96/256: games 1903 (in flight 2544), c1 step 6144, setup frozen, 136.835 s, bundle 779562169788
[coadapt 04:41:00] [control] period 97/256: games 1925 (in flight 2551), c1 step 6208, setup frozen, 136.549 s
[coadapt 04:43:19] [control] period 98/256: games 1941 (in flight 2552), c1 step 6272, setup frozen, 138.181 s
[coadapt 04:45:37] [control] period 99/256: games 1925 (in flight 2547), c1 step 6336, setup frozen, 138.411 s
[coadapt 04:47:55] [control] period 100/256: games 1897 (in flight 2553), c1 step 6400, setup frozen, 137.796 s
[coadapt 04:50:14] [control] period 101/256: games 1913 (in flight 2548), c1 step 6464, setup frozen, 138.641 s
[coadapt 04:52:36] [control] period 102/256: games 1914 (in flight 2552), c1 step 6528, setup frozen, 142.148 s
[coadapt 04:54:53] [control] period 103/256: games 1877 (in flight 2556), c1 step 6592, setup frozen, 137.208 s
[coadapt 04:57:12] [control] period 104/256: games 1874 (in flight 2555), c1 step 6656, setup frozen, 138.746 s
[coadapt 04:59:31] [control] period 105/256: games 1903 (in flight 2545), c1 step 6720, setup frozen, 139.086 s
[coadapt 05:01:55] [control] period 106/256: games 1866 (in flight 2554), c1 step 6784, setup frozen, 143.077 s
[coadapt 05:04:15] [control] period 107/256: games 1922 (in flight 2554), c1 step 6848, setup frozen, 140.031 s
